Subject,Topic,SubTopic,Question,Answer,Done,ReviewLater,LessImportant,Starred,Order,SubjectOrder,TopicOrder,SubTopicOrder
OOPS,Inheritance,Previous Question Bank,What is Inheritance & What Relationship it is?,,false,false,false,false,1,1,1,0
OOPS,Inheritance,Previous Question Bank,Diamond problem,"due to multiple inheritence when B,C extends A and again D extends B,C resolved with default interface method",false,false,false,false,0,1,1,0
OOPS,Inheritance,Previous Question Bank,default vs static method,,false,false,false,false,2,1,1,0
OOPS,Pillers,Previous Question Bank,Polymorphism,Static/dynamic Binding or Static / Runtime Polymorphism also called Dynamic Method Dispatch  Example - Method overloading(static) / overriding(dynamic/runtime),false,false,false,false,3,1,0,0
OOPS,Inheritance,Previous Question Bank,Abstraction,,false,false,false,false,3,1,1,0
OOPS,Inheritance,Previous Question Bank,Abstract class vs method,"just declared, cant instanciate, sub class can define or override",false,false,false,false,5,1,1,0
OOPS,Inheritance,Previous Question Bank,Interface,"just declared with Default Methods ",false,false,false,false,6,1,1,0
OOPS,Inheritance,Previous Question Bank,Purpose/Difference between abstract class and interface,,false,false,false,false,4,1,1,0
OOPS,Inheritance,Previous Question Bank,interface types & example,"- Marker / Markable interface (Ex: Cloneable, Serializable) & Functional interface - (Ex: Runnable)",false,false,false,false,7,1,1,0
OOPS,Inheritance,Previous Question Bank,Can we declare a class as private,Cant declare top-level class only inner class can (cannot be accessed from an object outside the class),false,false,false,false,8,1,1,0
OOPS,Inheritance,Previous Question Bank,Can we have constructor for abstract,"yes, called with super() but no use in making it public as we cant instanciate abstract class",false,false,false,false,9,1,1,0
OOPS,Inheritance,Previous Question Bank,Can we have constructor for interface,"No, as we dont have a variable/method defined interface also no objects are created but default / static method allowed",false,false,false,false,10,1,1,0
OOPS,Pillers,Previous Question Bank,Encapsulation,we cant access variable/method inside class directly. its possible only with object this is called encapsulation,false,false,false,false,2,1,0,0
OOPS,Relationship,Previous Question Bank,Coupling,dependencies btwn object - (interfaces) loosly / (access modifier) tightly coupled,false,false,false,false,23,1,2,0
OOPS,Relationship,Previous Question Bank,Cohesion,component which performs a single well-defined task - java.io vs java.util,false,false,false,false,24,1,2,0
OOPS,Relationship,Previous Question Bank,Association,"relationship between the objects - 1-1, 1-M, M-M, M-1",false,false,false,false,25,1,2,0
OOPS,Relationship,Previous Question Bank,Aggregation,( HAS-A ) - object contains other objects as a part of its state - weak relationship between objects - inheritence (IS-A),false,false,false,false,26,1,2,0
OOPS,Relationship,Previous Question Bank,Composition,"strong relationship between the containing object - If you delete the parent object, all the child objects will be deleted automatically.",false,false,false,false,27,1,2,0
OOPS,Misc,Previous Question Bank,Does java support multiple inheritence,No but possible with interface,false,false,false,false,28,1,3,0
OOPS,Misc,Previous Question Bank,"final, static - variable, method & class",,false,false,false,false,29,1,3,0
OOPS,Misc,Previous Question Bank,Final vs Finally vs Finalize,"How finalize work, when it will be called -> Garbage collector its called when object is destroyed for cleanup activity ",false,false,false,false,30,1,3,0
OOPS,Misc,Previous Question Bank,this,"reference variable to current object ",false,false,false,false,31,1,3,0
OOPS,Misc,Previous Question Bank,Method Overloading vs Overridding,,false,false,false,false,32,1,3,0
OOPS,Misc,Previous Question Bank,Super Keyword,"calling constructor of a abstract class ",false,false,false,false,33,1,3,0
OOPS,Misc,Previous Question Bank,java instanceof operator,,false,false,false,false,34,1,3,0
OOPS,Misc,Previous Question Bank,Access Modifiers,,false,false,false,false,35,1,3,0
OOPS,Misc,Previous Question Bank,Call by Value and Call by Reference in Java,"- There is only call by value in java, not call by reference.",false,false,false,false,36,1,3,0
OOPS,Misc,Previous Question Bank,Why no pointers in java,,false,false,false,false,37,1,3,0
OOPS,Misc,Previous Question Bank,Comparable vs Comparator,"Comparable ( implements Comparable<T> & add compareTo() method Ex: Sort ) vs comparator ( implements Comparator<T> & compare() method, seperate file like name comparator, age comparator )",false,false,false,false,38,1,3,0
OOPS,Misc,Previous Question Bank,Indexof vs contains,,false,false,false,false,39,1,3,0
OOPS,Misc,Previous Question Bank,implements Serializable,Classes implement it if they want their instances to be Serialized or Deserialized. Serialization is a mechanism of converting the state of an object into a byte stream,false,false,false,false,40,1,3,0
OOPS,Misc,Previous Question Bank,Transient variable,would not be serialized,false,false,false,false,41,1,3,0
OOPS,Misc,Previous Question Bank,Can we override static method,No,false,false,false,false,42,1,3,0
Core Java,Misc,Previous Question Bank,super class of every class in Java,Class implicitly extends Object,false,false,false,false,43,3,10,0
Core Java,Misc,Previous Question Bank,Java Core Best Practices,https://www.codejava.net/coding/10-java-core-best-practices-every-java-programmer-should-know - https://xperti.io/blogs/java-coding-best-practices/,false,false,false,false,44,3,10,0
Core Java,Misc,Previous Question Bank,Describe list of Java Keywords & package lists,,false,false,false,false,45,3,10,0
Core Java,Misc,Previous Question Bank,x Socket,,false,false,true,false,46,3,10,0
Core Java,Misc,Previous Question Bank,x Data type conversion and fundamentals,,false,false,true,false,47,3,10,0
Core Java,Misc,Previous Question Bank,"x XML Processing in Java - SAX parser, dom parser & jaxb",,false,false,true,false,48,3,10,0
Core Java,Misc,Previous Question Bank,how to create custom singleton class,,false,false,false,false,49,3,10,0
Core Java,Misc,Previous Question Bank,constructor chaining,-  within a class two args constructor calling single arg constructor & single arg constructor calling default constructor - throws chained exception,false,false,false,false,50,3,10,0
Core Java,Misc,Previous Question Bank,Atomic Operations,- to handle increment operator thread safe Ex: AtomicInteger,false,false,false,false,51,3,10,0
Core Java,Misc,Previous Question Bank,serialization,- object to bytestream on transfor or store as different format,false,false,false,false,52,3,10,0
Core Java,Misc,Previous Question Bank,implements Serializable,- Different between serialisation and deserialisation,false,false,false,false,53,3,10,0
Core Java,Misc,Previous Question Bank,How to not serialise only particular variable in entity class,- transient int value = 10 ( this will avoid variable when object is serialized ),false,false,false,false,54,3,10,0
Core Java,Misc,Previous Question Bank,initialization blocks / static block,"syntax: only static {} (once on class init, Static block is used to initialize the static data member. It is executed before the main method, at the time of classloading) / static initializer - syntax: only {} (each time on object creation)",false,false,false,false,55,3,10,0
Core Java,Misc,Previous Question Bank,types of constructors,"default constructor, arg constructor, copy constructor, static const (not supported), private constructor (restricting object creation)",false,false,false,false,56,3,10,0
Core Java,Misc,Previous Question Bank,Wrapper class,"int Integer ( used to implement premitive datatypes in synchronization, multithreading )",false,false,false,false,57,3,10,0
Core Java,Misc,Previous Question Bank,stack vs heap memory,,false,false,false,false,58,3,10,0
Core Java,Misc,Previous Question Bank,What is Shadowing,"overriding outter scope variable value inside block scope ",false,false,false,false,59,3,10,0
Core Java,Misc,Previous Question Bank,Static methods vs static block,,false,false,false,false,60,3,10,0
Core Java,Misc,Previous Question Bank,JDK,"which has  JRE & tool to convert java into class , JVM - load, verify & execute class file , JRE - supporting libraries to run the code",false,false,false,false,61,3,10,0
Core Java,Misc,Previous Question Bank,JVM internal working,https://medium.com/platform-engineer/understanding-jvm-architecture-22c0ddf09722,false,false,false,false,62,3,10,0
Core Java,Misc,Previous Question Bank,Java memory management,Why no JRE from Java 9 - due to modular development,false,false,false,false,63,3,10,0
Core Java,Misc,Previous Question Bank,Is Java Paid after Java 11,"Oracle provides two Java Development Kit releases, an OpenJDK build under the GPL open-source license and a commercial Oracle JDK build under a paid-for license.
		Enterprise JavaBeans (EJB)?",false,false,false,false,64,3,10,0
Core Java,Misc,Previous Question Bank,Javax to jakarta migration explain with oracle aquired story,,false,false,false,false,65,3,10,0
Core Java,Misc,Previous Question Bank,OpenJDK vs AdoptOpenJDK,https://stackoverflow.com/questions/52431764/difference-between-openjdk-and-adoptium-adoptopenjdk,false,false,false,false,66,3,10,0
Core Java,Misc,Previous Question Bank,HotSpot vs OpenJ9,famous due to cloud native movement - faster than HotSpot,false,false,false,false,67,3,10,0
Core Java,Misc,Previous Question Bank,Enumeration vs iterator vs ListIterator,"- Enumeration (hasmoreelements, nextElement) vs iterator(hasnext, remove) vs ListIterator(hasnext, remove, add, set) like pointing cursers for element access",false,false,false,false,68,3,10,0
Core Java,Misc,Previous Question Bank,Copy of java object ( java8 has new feature? ),"- shallow copying, Deep copying, copy constructor",false,false,false,false,69,3,10,0
Core Java,Misc,Previous Question Bank,System in java - final class inside,"java.lang.* mostly used for i/p , o/p",false,false,false,false,70,3,10,0
Core Java,Misc,Previous Question Bank,What is reflexion api,"- getClassName(), forName(), .class() - cons - breaks encapsulation principle & possible to access privete methods/variables",false,false,false,false,71,3,10,0
Core Java,Misc,Previous Question Bank,What is concurrent modification exception,occurs when an object is tried to be modified concurrently when it is not permissible,false,false,false,false,72,3,10,0
Core Java,Misc,Previous Question Bank,"Date, Time, and Calendar",,false,false,false,false,73,3,10,0
Core Java,Misc,Previous Question Bank,"Is Java ""pass-by-reference"" or ""pass-by-value""?",,false,false,false,false,74,3,10,0
Core Java,Misc,Previous Question Bank,Permgen (why depricated after Java7),special heap space separated from the main memory heap for static & primitive variables vs Metaspace in Java,false,false,false,false,75,3,10,0
Core Java,Misc,Previous Question Bank,understanding-public-static-void-mainstring-args-in-java,public static void main(String args[]) - https://www.geeksforgeeks.org/understanding-public-static-void-mainstring-args-in-java/,false,false,false,false,76,3,10,0
Core Java,Misc,Previous Question Bank,Why main method in java is public static void,,false,false,false,false,77,3,10,0
Core Java,Misc,Previous Question Bank,What is the use of String args[] in main method,,false,false,false,false,78,3,10,0
Core Java,Misc,Previous Question Bank,Can we have multiple main method in java project,not allowed with class as main method is static but allowed in project level,false,false,false,false,79,3,10,0
Core Java,Misc,Previous Question Bank,What happens if we run project with 2class having main method,eclipse will pop which class to run,false,false,false,false,80,3,10,0
Core Java,Misc,Previous Question Bank,Can we override / overload main method in java,"can overload by args but cant override as its static method ",false,false,false,false,81,3,10,0
Core Java,Misc,Previous Question Bank,Is main method compulsory in Java? / what if main method not found in the class ?,https://www.geeksforgeeks.org/main-method-compulsory-java/,false,false,false,false,82,3,10,0
Core Java,Misc,Previous Question Bank,Program argument vs VM argument differences,,false,false,false,false,83,3,10,0
Core Java,Collections,Previous Question Bank,synchronized,synchronized keyword ensures that only one thread can enter the method at one time and concurrent collections,false,false,false,false,84,3,2,0
Core Java,Collections,Previous Question Bank,static methods present in the collections class,( Example: Collections.sort() ) - List in link https://www.javatpoint.com/java-collections-class,false,false,false,false,85,3,2,0
Core Java,Collections,Previous Question Bank,streams vs collections,"data storage, modification, functional interface",false,false,false,false,86,3,2,0
Core Java,Collections,Previous Question Bank,Collection Diagram,,false,false,false,false,87,3,2,0
Core Java,Collections,Previous Question Bank,Java collection - new <util> and Java Collections,".sort(), .addAll()",false,false,false,false,88,3,2,0
Core Java,Collections,Previous Question Bank,difference between ArrayList and LinkedList classes,,false,false,false,false,89,3,2,0
Core Java,Collections,Previous Question Bank,Difference between hash map and hash table with internal working,,false,false,false,false,90,3,2,0
Core Java,Collections,Previous Question Bank,Difference between set and list,,false,false,false,false,91,3,2,0
Core Java,Collections,Previous Question Bank,Is hash map is thread safe - no,,false,false,false,false,92,3,2,0
Core Java,Collections,Previous Question Bank,hash map vs hash set,,false,false,false,false,93,3,2,0
Core Java,Collections,Previous Question Bank,Concurrent hashMap,,false,false,false,false,94,3,2,0
Core Java,Collections,Previous Question Bank,hashcode() method vs equal,,false,false,false,false,95,3,2,0
Core Java,Collections,Previous Question Bank,How hashmap internally works - All DSA basic concepts,,false,false,false,false,96,3,2,0
Core Java,Collections,Previous Question Bank,hash Map vs HashTable,,false,false,false,false,97,3,2,0
Core Java,Error vs Exception,Previous Question Bank,How do you handle multiple exception types with same exception,,false,false,false,false,98,3,3,0
Core Java,Error vs Exception,Previous Question Bank,What design pattern is used to implement exception handling,"chain of responsibility ",false,false,false,false,99,3,3,0
Core Java,Error vs Exception,Previous Question Bank,Diagram,,false,false,false,false,100,3,3,0
Core Java,Error vs Exception,Previous Question Bank,Checked Exception,,false,false,false,false,101,3,3,0
Core Java,Error vs Exception,Previous Question Bank,Unchecked Exception,,false,false,false,false,102,3,3,0
Core Java,Error vs Exception,Previous Question Bank,Error,,false,false,false,false,103,3,3,0
Core Java,Error vs Exception,Previous Question Bank,throw vs throws,,false,false,false,false,104,3,3,0
Core Java,Error vs Exception,Previous Question Bank,"try, catch, finally",catch Exception e first block &  Checked Exception in second block,false,false,false,false,105,3,3,0
Core Java,Error vs Exception,Previous Question Bank,Java Custom Exception,,false,false,false,false,106,3,3,0
Core Java,Error vs Exception,Previous Question Bank,how to handle Custom exception in spring boot,,false,false,false,false,107,3,3,0
Core Java,Error vs Exception,Previous Question Bank,exception-handling-with-method-overriding,,false,false,false,false,108,3,3,0
Core Java,Multi-threading,Previous Question Bank,What is Multi-threading,https://www.javatpoint.com/java-multithreading-interview-questions,false,false,false,false,0,3,4,0
Core Java,Multi-threading,Previous Question Bank,what is multithreading & concurrency,,false,false,false,false,1,3,4,0
Core Java,Multi-threading,Previous Question Bank,volatile keyword,,false,false,false,false,2,3,4,0
Core Java,Multi-threading,Previous Question Bank,Difference between threads and process?,,false,false,false,false,3,3,4,0
Core Java,Multi-threading,Previous Question Bank,thread basics,,false,false,false,false,4,3,4,0
Core Java,Multi-threading,Previous Question Bank,different ways of threads usage,extends thread & implements Runnable,false,false,false,false,5,3,4,0
Core Java,Multi-threading,Previous Question Bank,Deadlock explain,,false,false,false,false,6,3,4,0
Core Java,Multi-threading,Previous Question Bank,life cycle,,false,false,false,false,7,3,4,0
Core Java,Multi-threading,Previous Question Bank,joing thread,,false,false,false,false,8,3,4,0
Core Java,Multi-threading,Previous Question Bank,naming thread,,false,false,false,false,9,3,4,0
Core Java,Multi-threading,Previous Question Bank,Daemon thread,,false,false,false,false,10,3,4,0
Core Java,Multi-threading,Previous Question Bank,thread pool,,false,false,false,false,11,3,4,0
Core Java,Multi-threading,Previous Question Bank,Synchronized Block,used to lock common thread resources,false,false,false,false,12,3,4,0
Core Java,Multi-threading,Previous Question Bank,Process-based Multitasking (Multiprocessing),,false,false,false,false,14,3,4,0
Core Java,Multi-threading,Previous Question Bank,Thread-based Multitasking (Multithreading),,false,false,false,false,15,3,4,0
Core Java,Multi-threading,Previous Question Bank,What will happen when we call two times Start() in threads,IllegalThreadStateException,false,false,false,false,16,3,4,0
Core Java,Multi-threading,Previous Question Bank,Thread safe Singleton�& impl,,false,false,false,false,17,3,4,0
Core Java,Multi-threading,Previous Question Bank,Callable in thread,,false,false,false,false,18,3,4,0
Core Java,Multi-threading,Previous Question Bank,What is the need for threads in Java?,,false,false,false,false,19,3,4,0
Core Java,Multi-threading,Previous Question Bank,How do you create a thread?,,false,false,false,false,20,3,4,0
Core Java,Multi-threading,Previous Question Bank,How do you create a thread by extending thread class?,,false,false,false,false,21,3,4,0
Core Java,Multi-threading,Previous Question Bank,How do you create a thread by implementing runnable interface?,,false,false,false,false,22,3,4,0
Core Java,Multi-threading,Previous Question Bank,How do you run a thread in Java?,,false,false,false,false,23,3,4,0
Core Java,Multi-threading,Previous Question Bank,What are the different states of a thread?,,false,false,false,false,24,3,4,0
Core Java,Multi-threading,Previous Question Bank,What is priority of a thread? How do you change the priority of a thread?,,false,false,false,false,25,3,4,0
Core Java,Multi-threading,Previous Question Bank,What is executorservice?,,false,false,false,false,26,3,4,0
Core Java,Multi-threading,Previous Question Bank,Can you give an example for executorservice?,,false,false,false,false,27,3,4,0
Core Java,Multi-threading,Previous Question Bank,Explain different ways of creating executor services .,,false,false,false,false,28,3,4,0
Core Java,Multi-threading,Previous Question Bank,How do you check whether an executionservice task executed successfully?,,false,false,false,false,29,3,4,0
Core Java,Multi-threading,Previous Question Bank,What is callable? How do you execute a callable from executionservice?,,false,false,false,false,30,3,4,0
Core Java,Multi-threading,Previous Question Bank,What is synchronization of threads?,,false,false,false,false,31,3,4,0
Core Java,Multi-threading,Previous Question Bank,Can you give an example of a synchronized block?,,false,false,false,false,32,3,4,0
Core Java,Multi-threading,Previous Question Bank,Can a static method be synchronized?,"yes, locks for class level rather to object/instance level",false,false,false,false,33,3,4,0
Core Java,Multi-threading,Previous Question Bank,What is the use of join method in threads?,,false,false,false,false,34,3,4,0
Core Java,Multi-threading,Previous Question Bank,Describe a few other important methods in threads?,,false,false,false,false,35,3,4,0
Core Java,Multi-threading,Previous Question Bank,What is a deadlock?,,false,false,false,false,36,3,4,0
Core Java,Multi-threading,Previous Question Bank,What are the important methods in Java for inter-thread communication?,,false,false,false,false,37,3,4,0
Core Java,Multi-threading,Previous Question Bank,What is the use of wait method?,,false,false,false,false,38,3,4,0
Core Java,Multi-threading,Previous Question Bank,What is the use of notify method?,,false,false,false,false,39,3,4,0
Core Java,Multi-threading,Previous Question Bank,What is the use of notifyall method?,,false,false,false,false,40,3,4,0
Core Java,Multi-threading,Previous Question Bank,Can you write a synchronized program with wait and notify methods?,,false,false,false,false,41,3,4,0
Core Java,Garbage collection,Previous Question Bank,Explain Garbage collection,,false,false,false,false,150,3,5,0
Core Java,Java IO,Previous Question Bank,IO Diagram,,false,false,false,false,151,3,6,0
Core Java,Java IO,Previous Question Bank,"File input stream, output stream, reader, writer",,false,false,false,false,152,3,6,0
Core Java,Java IO,Previous Question Bank,FileOutputStream,,false,false,false,false,153,3,6,0
Core Java,Java IO,Previous Question Bank,FileInputStream,,false,false,false,false,154,3,6,0
Core Java,Java IO,Previous Question Bank,BufferedOutputStream,,false,false,false,false,155,3,6,0
Core Java,Java IO,Previous Question Bank,BufferedInputStream,,false,false,false,false,156,3,6,0
Core Java,Java IO,Previous Question Bank,SequenceInputStream,,false,false,false,false,157,3,6,0
Core Java,Java IO,Previous Question Bank,ByteArrayOutputStream,,false,false,false,false,158,3,6,0
Core Java,Java IO,Previous Question Bank,ByteArrayInputStream,,false,false,false,false,159,3,6,0
Core Java,Java IO,Previous Question Bank,FileReader,,false,false,false,false,160,3,6,0
Core Java,Java IO,Previous Question Bank,FileWriter,,false,false,false,false,161,3,6,0
Core Java,Java Strings,Previous Question Bank,utility methods in String class,".length(), isEmpty(), .equalsIgnoreCase(), startsWithIgnoreCase(), endsWithIgnoreCase(), trimWhitespaces(), containsWhitespace",false,false,false,false,10,3,7,0
Core Java,Java Strings,Previous Question Bank,String vs StringBuffer vs StringBuilder,String (immutable) vs StringBuffer (syncronized & thread safe) vs StringBuilder (no syncronization & not thread safe),false,false,false,false,11,3,7,0
Core Java,Java Strings,Previous Question Bank,Why string is immutable,"- synchronization & thread safe- thread safe & to avoid garbage collector to hold value in string pool for security reasons, synchronization and concurrency, caching, and class loading - https://youtu.be/to9DPVsdByE",false,false,false,false,12,3,7,0
Core Java,Java Strings,Previous Question Bank,String vs new String() vs internal() vs String Literal,"String Literal - """", new String(),",false,false,false,false,13,3,7,0
Core Java,Java Strings,Previous Question Bank,create your own immutable class,"how to declare or get variable from immutable class - final class, private final variable, parametrized constructor for deep copy ",false,false,false,false,14,3,7,0
Core Java,Java Strings,Previous Question Bank,operations using String & StringBuilder,"- compare(), concat(), equals(), split(), length(), replace(), compareTo(), intern(), substring()
		- charAt() ,compareTo() ,concat() ,contains() ,endsWith() ,equals()equalsIgnoreCase() ,format() ,getBytes() ,getChars() ,indexOf() ,intern() ,isEmpty() ,join() ,lastIndexOf() ,length() ,replace() ,replaceAll() ,split() ,startsWith() ,substring() ,toCharArray() ,toLowerCase() ,toUpperCase() ,trim()",false,false,false,false,15,3,7,0
Core Java,Java Strings,Previous Question Bank,StringTokenizer,,false,false,true,false,18,3,7,0
Core Java,Java Strings,Previous Question Bank,equals() {things to consider when using} & == & compareTo(),,false,false,false,false,16,3,7,0
Core Java,Java Strings,Previous Question Bank,split vs splice,,false,false,true,false,17,3,7,0
Core Java,Operators,Previous Question Bank,Unary Operator,,false,false,false,false,171,3,8,0
Core Java,Operators,Previous Question Bank,Arithmetic Operator,,false,false,false,false,172,3,8,0
Core Java,Operators,Previous Question Bank,Shift Operator,,false,false,false,false,173,3,8,0
Core Java,Operators,Previous Question Bank,Relational Operator,,false,false,false,false,174,3,8,0
Core Java,Operators,Previous Question Bank,Bitwise Operator,,false,false,false,false,175,3,8,0
Core Java,Operators,Previous Question Bank,Logical Operator,,false,false,false,false,176,3,8,0
Core Java,Operators,Previous Question Bank,Ternary Operator,,false,false,false,false,177,3,8,0
Core Java,Operators,Previous Question Bank,Assignment Operator,,false,false,false,false,178,3,8,0
Core Java,Basic Programs,Previous Question Bank,Fibonacci Series in Java,,false,false,false,false,2,3,9,0
Core Java,Basic Programs,Previous Question Bank,Prime Number Program in Java & nth Prime Number Java,,false,false,false,false,3,3,9,0
Core Java,Basic Programs,Previous Question Bank,Palindrome Program in Java,,false,false,false,false,4,3,9,0
Core Java,Basic Programs,Previous Question Bank,Factorial Program in Java,,false,false,false,false,5,3,9,0
Core Java,Basic Programs,Previous Question Bank,Armstrong Number in Java,,false,false,false,false,6,3,9,0
Core Java,Basic Programs,Previous Question Bank,How to Generate Random Number in Java,,false,false,false,false,7,3,9,0
Core Java,Basic Programs,Previous Question Bank,How to Print Pattern in Java,,false,false,false,false,8,3,9,0
Core Java,Basic Programs,Previous Question Bank,How to Compare Two Objects in Java,,false,false,false,false,9,3,9,0
Core Java,Basic Programs,Previous Question Bank,How to Create Object in Java,,false,false,false,false,10,3,9,0
Core Java,Basic Programs,Previous Question Bank,How to Print ASCII Value in Java,,false,false,false,false,11,3,9,0
Core Java,Basic Programs,Previous Question Bank,Reverse a String / Number,,false,false,false,false,12,3,9,0
Core Java,Basic Programs,Previous Question Bank,second / third largest from array using sort logic of temp variable,,false,false,false,false,13,3,9,0
Core Java,Basic Programs,Previous Question Bank,pattern,,false,false,false,false,14,3,9,0
Core Java,Java features,Previous Question Bank,List Java 8 Features,"Lambda expressions,
Default methods,
Static methods in interface,
ForEach() method,
Method references (using class::method )
Stream builder		
Base64 Encode Decode,
Optional class,
Collect vs Collectors class in stream api
Nashorn JavaScript Engine,
Parallel Array Sorting,
Type and Repating Annotations,
IO Enhancements,
Concurrency Enhancements,
JDBC Enhancements etc.",false,false,false,false,192,3,1,0
Core Java,Java features,Previous Question Bank,Functional interfaces,,false,false,false,false,193,3,1,0
Core Java,Java features,Previous Question Bank,Example Functional interfaces,"Runnable, Comparator, Consumer, Supplier vs Predicate",false,false,false,false,194,3,1,0
Core Java,Java features,Previous Question Bank,Consumer vs Supplier vs Predicate,https://medium.com/swlh/understanding-java-8s-consumer-supplier-predicate-and-function-c1889b9423d,false,false,false,false,195,3,1,0
Core Java,Java features,Previous Question Bank,Functional Programming vs OOPS vs AOP,,false,false,false,false,196,3,1,0
Core Java,Java features,Previous Question Bank,interface method impl in class vers Functional interface method impl using lamda,,false,false,false,false,197,3,1,0
Core Java,Java features,Previous Question Bank,"interface that contains only one abstract method, Java 8 onwards, lambda expressions",,false,false,false,false,198,3,1,0
Core Java,Java features,Previous Question Bank,Vs @Annotation & Changes after java8 Lambda expression,,false,false,false,false,199,3,1,0
Core Java,Java features,Previous Question Bank,What is stream api?,"No storage, functional programming, Possibly unbounded, Laziness-seeking. ",false,false,false,false,200,3,1,0
Core Java,Java features,Previous Question Bank,stream () from Collection interface,map {uses predicate functional interface} & filter {uses function functional interface} from Stream,false,false,false,false,201,3,1,0
Core Java,Java features,Previous Question Bank,"map (), filter, toarray, collect, Collectors",,false,false,false,false,202,3,1,0
Core Java,Java features,Previous Question Bank,Parallel vs Sequential Stream in Java,,false,false,false,false,203,3,1,0
Core Java,Java features,Previous Question Bank,java 8 vs latest stream() enhancement,,false,false,false,false,204,3,1,0
Core Java,Java features,Previous Question Bank,Differentiate stream operations - stream().map/.filter,- stream().map/.filter - to iterate array of list with less memory/processing effort,false,false,false,false,205,3,1,0
